               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.035779,            0.017579,           0.0016927,             0.98324,              0.9684,             0.98993,              0.7095,             0.01938,            0.012632,          0.00057182,             0.00868,             0.00868,             0.00868
                  82,            0.035286,            0.017143,           0.0023746,             0.98894,             0.96933,             0.98886,             0.72716,            0.017916,            0.012513,          0.00051689,           0.0086635,           0.0086635,           0.0086635
                  83,            0.033699,            0.017723,           0.0016964,             0.99023,             0.96474,             0.98878,             0.72654,            0.017039,            0.012129,          0.00044985,            0.008647,            0.008647,            0.008647
                  84,            0.032069,            0.017054,           0.0015282,             0.98938,             0.96838,             0.99028,             0.75072,            0.016525,            0.012035,          0.00043383,           0.0086305,           0.0086305,           0.0086305
                  85,            0.034364,            0.017328,           0.0026792,              0.9864,              0.9689,             0.99093,             0.74621,            0.017319,            0.012143,          0.00065537,            0.008614,            0.008614,            0.008614
                  86,            0.035036,            0.017943,           0.0026574,             0.98187,             0.96696,             0.98959,             0.73114,            0.017754,             0.01248,           0.0006855,           0.0085975,           0.0085975,           0.0085975
                  87,            0.035053,            0.017688,           0.0024964,             0.98773,             0.96332,             0.98862,             0.72518,            0.017701,            0.012371,           0.0006031,            0.008581,            0.008581,            0.008581
                  88,            0.033794,             0.01723,           0.0026384,             0.98783,             0.96283,             0.99008,             0.74973,            0.016741,            0.012085,          0.00070038,           0.0085645,           0.0085645,           0.0085645
                  89,            0.033401,            0.017028,           0.0021136,              0.9869,             0.96422,             0.98513,              0.7489,            0.016712,            0.012024,          0.00056496,            0.008548,            0.008548,            0.008548
                  90,            0.034702,            0.017811,           0.0035621,             0.97917,              0.9655,             0.99016,             0.74622,            0.016795,            0.012449,          0.00091286,           0.0085315,           0.0085315,           0.0085315
                  91,            0.030893,            0.017282,           0.0019609,             0.98577,             0.97242,             0.99047,             0.75489,            0.016541,            0.012253,          0.00073509,            0.008515,            0.008515,            0.008515
                  92,            0.032434,            0.017941,           0.0020708,             0.98566,               0.975,             0.99052,             0.73969,            0.016958,            0.012188,          0.00054855,           0.0084985,           0.0084985,           0.0084985
                  93,            0.035034,            0.017751,           0.0019145,             0.98751,             0.97341,             0.98924,             0.74534,            0.016939,             0.01229,          0.00063629,            0.008482,            0.008482,            0.008482
                  94,            0.033966,            0.017904,           0.0018645,             0.99208,             0.96906,             0.98867,             0.72522,            0.017124,            0.012423,          0.00052147,           0.0084655,           0.0084655,           0.0084655
                  95,            0.031778,            0.017093,           0.0016937,             0.99141,             0.96922,             0.98967,             0.74686,              0.0163,            0.011958,          0.00051308,            0.008449,            0.008449,            0.008449
                  96,            0.032417,            0.017195,           0.0017344,              0.9822,             0.96978,             0.98996,             0.74472,            0.016782,            0.012237,          0.00053825,           0.0084325,           0.0084325,           0.0084325
                  97,            0.032951,            0.016703,           0.0015423,             0.98968,             0.96921,             0.98872,             0.75611,            0.016225,            0.011971,          0.00053463,            0.008416,            0.008416,            0.008416
                  98,            0.034122,            0.017329,           0.0018002,             0.97823,             0.96662,             0.99169,             0.73234,            0.017775,            0.012455,          0.00062122,           0.0083995,           0.0083995,           0.0083995
                  99,              0.0309,            0.016902,           0.0016996,             0.99105,             0.97456,             0.99011,             0.71177,             0.01882,            0.012797,          0.00050774,            0.008383,            0.008383,            0.008383
                 100,            0.034044,             0.01672,           0.0016964,             0.98432,             0.97223,             0.99019,             0.73599,            0.017243,            0.012216,          0.00063839,           0.0083665,           0.0083665,           0.0083665
                 101,            0.034634,            0.017408,           0.0015211,             0.98592,             0.97432,             0.99186,             0.74341,            0.016708,            0.012136,          0.00047321,             0.00835,             0.00835,             0.00835
                 102,            0.032928,            0.017041,           0.0017448,             0.98297,             0.97542,             0.99178,             0.69139,            0.018546,             0.01245,          0.00045319,           0.0083335,           0.0083335,           0.0083335
                 103,             0.03446,             0.01711,           0.0018248,             0.98622,             0.97746,             0.99151,             0.74608,            0.016695,            0.012108,          0.00045967,            0.008317,            0.008317,            0.008317
                 104,            0.034779,            0.016797,           0.0019522,             0.98757,             0.97161,             0.99164,             0.75489,            0.016483,            0.011972,           0.0004734,           0.0083005,           0.0083005,           0.0083005
                 105,            0.034234,            0.017225,           0.0016145,             0.98638,             0.97212,             0.99204,             0.74159,            0.017123,            0.012033,          0.00050011,            0.008284,            0.008284,            0.008284
                 106,            0.032871,            0.017092,           0.0025155,              0.9816,             0.97135,             0.99183,             0.74825,            0.016692,            0.012233,          0.00062103,           0.0082675,           0.0082675,           0.0082675
                 107,            0.033021,            0.017342,           0.0023544,             0.98359,              0.9763,             0.99317,             0.74557,            0.017075,            0.012391,          0.00062923,            0.008251,            0.008251,            0.008251
                 108,            0.031292,            0.016682,           0.0023861,             0.98726,             0.97256,             0.99038,             0.75204,            0.016658,            0.012214,          0.00053978,           0.0082345,           0.0082345,           0.0082345
                 109,            0.033579,            0.016821,           0.0016402,             0.99191,             0.96783,             0.99217,             0.72878,            0.018188,            0.012488,          0.00043564,            0.008218,            0.008218,            0.008218
                 110,             0.03173,            0.016833,           0.0014354,              0.9883,             0.97654,             0.99219,              0.7394,            0.017654,            0.012443,          0.00044403,           0.0082015,           0.0082015,           0.0082015
                 111,            0.031735,            0.017436,           0.0017472,             0.99171,             0.97585,             0.99057,             0.74748,            0.016658,             0.01186,          0.00044069,            0.008185,            0.008185,            0.008185
                 112,            0.033603,            0.017379,           0.0015557,             0.99108,             0.97784,             0.99296,             0.76031,            0.016072,            0.011893,           0.0004611,           0.0081685,           0.0081685,           0.0081685
                 113,            0.033215,            0.017078,           0.0016168,             0.98739,             0.97724,             0.99014,             0.75736,            0.016189,            0.011781,          0.00041656,            0.008152,            0.008152,            0.008152
                 114,             0.03169,            0.016682,           0.0014518,             0.98695,             0.97735,             0.99067,              0.7476,            0.016579,            0.011901,          0.00044451,           0.0081355,           0.0081355,           0.0081355
                 115,            0.032985,            0.017385,           0.0012982,             0.99205,             0.97064,             0.99144,             0.73103,            0.017033,            0.011949,          0.00041542,            0.008119,            0.008119,            0.008119
                 116,            0.033643,             0.01639,           0.0019559,             0.99191,             0.96628,             0.98832,             0.74525,            0.016583,            0.011889,          0.00046082,           0.0081025,           0.0081025,           0.0081025
                 117,            0.032956,            0.016856,           0.0023348,             0.98765,              0.9734,              0.9923,             0.74307,            0.016618,            0.012039,          0.00043812,            0.008086,            0.008086,            0.008086
                 118,            0.033213,            0.016966,           0.0025855,             0.99154,             0.96806,             0.98944,             0.74758,            0.016287,            0.011845,          0.00044765,           0.0080695,           0.0080695,           0.0080695
                 119,            0.032984,            0.017394,           0.0019927,             0.99257,             0.97735,             0.99247,             0.72634,            0.017486,            0.012291,          0.00044231,            0.008053,            0.008053,            0.008053
                 120,            0.031698,              0.0174,           0.0018479,             0.98572,             0.96788,              0.9909,             0.75122,            0.016246,            0.012019,          0.00074768,           0.0080365,           0.0080365,           0.0080365
                 121,            0.031623,            0.016522,           0.0017877,             0.98214,             0.97491,             0.99077,             0.76118,            0.016248,               0.012,           0.0006794,             0.00802,             0.00802,             0.00802
                 122,            0.032962,            0.017223,           0.0012535,             0.98538,             0.97039,             0.99206,             0.76073,            0.016485,            0.012183,          0.00055485,           0.0080035,           0.0080035,           0.0080035
                 123,            0.032212,            0.016633,           0.0013737,             0.98943,             0.97381,             0.99217,             0.74609,            0.016957,            0.012113,          0.00047321,            0.007987,            0.007987,            0.007987
                 124,             0.03209,            0.017012,           0.0024491,             0.98898,             0.96904,             0.99186,             0.76549,            0.016184,            0.011755,          0.00042458,           0.0079705,           0.0079705,           0.0079705
                 125,            0.034928,            0.016572,           0.0021065,             0.99081,             0.97262,             0.99185,             0.72845,             0.01815,            0.012307,          0.00057278,            0.007954,            0.007954,            0.007954
                 126,            0.032499,            0.016354,           0.0014741,             0.98543,             0.97216,             0.99223,             0.75945,            0.016734,            0.011775,          0.00057831,           0.0079375,           0.0079375,           0.0079375
                 127,            0.031535,            0.017295,           0.0014425,             0.98212,             0.97691,             0.99141,             0.73543,            0.017912,            0.012277,          0.00052242,            0.007921,            0.007921,            0.007921
                 128,            0.034429,             0.01692,           0.0015577,             0.98789,              0.9688,             0.98929,             0.76858,            0.015673,            0.011603,           0.0006649,           0.0079045,           0.0079045,           0.0079045
                 129,            0.031452,            0.017044,           0.0012575,             0.98747,             0.97584,             0.99185,             0.74303,            0.017496,             0.01205,          0.00049858,            0.007888,            0.007888,            0.007888
                 130,            0.031476,            0.017083,           0.0014361,             0.99101,             0.97418,             0.99164,             0.76911,            0.015813,            0.011761,          0.00046482,           0.0078715,           0.0078715,           0.0078715
